title,city,info,link,remote
Python developer (Data Science and Algorithms),,"Повна зайнятість. Досвід роботи від 1 року.
                            Requirements:   1+ years of commercial experience in backend development using Python   strong knowledge…⁠",https://www.work.ua/jobs/4405317/,
Junior Python Developer in Test (Malevich),,"Повна зайнятість. Досвід роботи від 1 року.
                            Про проєкт Ми — Ajax Systems, розробник і виробник систем безпеки Ajax із можливостями розумного дому…⁠",https://www.work.ua/jobs/4684025/,
Python-розробник (Strong Junior),,"Повна зайнятість. Досвід роботи від 1 року.
                            Привіт! Лідер аптечного ринку, мережа «Аптека Низьких Цін», ШАР @, Копійка, Благодія, запрошує тебе в нашу…⁠",https://www.work.ua/jobs/4536733/,
"Embedded Linux developer (C, C++, Python)",,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Наша компания занимается разработкой и исследованием направления теле-радио коммуникации, программной…⁠",https://www.work.ua/jobs/3922535/,
Junior Python Developer in Test (CSA),,"Повна зайнятість. Досвід роботи від 1 року.
                            Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це 50 пристроїв,…⁠",https://www.work.ua/jobs/4694109/,
Data analyst (Python),,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Vodafone Україна — компанія світового рівня, що займає провідні позиції у сфері технологій та впроваджує…⁠",https://www.work.ua/jobs/4453978/,
Python-программист,,"Повна зайнятість, дистанційна робота. Досвід роботи від 1 року.
                            Looking for an experienced Python developer to join our Marakas Digital team. If you believe that you…⁠",https://www.work.ua/jobs/4609655/,
"Викладач у дитячу ІТ-школу програмування (Scratch, Python)",,"Повна зайнятість, неповна зайнятість, готові взяти студента. Незакінчена вища освіта.
                            Контакти:  Тел. +380 93 109 31 06 (Ірина) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання…⁠",https://www.work.ua/jobs/4563896/,
Python developer (FoodTech),,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років. Вища освіта.
                            Міжнародна компанія Zakaz.ua запрошує приєднатися до лав своєї команди Python developer Zakaz.ua спеціалізується…⁠",https://www.work.ua/jobs/3530487/,
"Викладач у ІТ-школу програмування (Python, Scratch)",,"Повна зайнятість, неповна зайнятість, готові взяти студента. Незакінчена вища освіта.
                            Контакти:Тел. +380937124239(Святослава) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання…⁠",https://www.work.ua/jobs/4682672/,
Middle Python developer,,"Повна зайнятість. Досвід роботи від 2 років.
                            NIX Solutions начинает работу над рядом новых интересных проектов и приглашает в новую команду Python-разработчиков…⁠",https://www.work.ua/jobs/4213003/,
Junior Python Developer,,"Повна зайнятість, готові взяти студента. Досвід роботи від 1 року.
                            Вимоги:    досвід розробки web — додатків на Python;   знання Python 3;    знання SQL;    знання екосистеми…⁠",https://www.work.ua/jobs/4584641/,
"Strong middle Python Developer, Data Engineer (PySpark)",,"Повна зайнятість. Досвід роботи від 1 року.
                            The customer provides multiple software solutions for the healthcare industry. Innovative solutions are…⁠",https://www.work.ua/jobs/4292345/,
Python developer,,"Повна зайнятість, дистанційна робота, готові взяти студента, готові взяти людину з інвалідністю. Досвід роботи від 1 року.
                            Работа или в офисе, или удаленно — на усмотрение кандидата! Необходимые навыки  python/django (2+ лет);…⁠",https://www.work.ua/jobs/3463039/,
Intern Python Developer,,"Неповна зайнятість, дистанційна робота, готові взяти студента. Незакінчена вища освіта.
                            Приглашаем тебя на бесплатную программу обучения Python.  Обучение идеально подойдет для студентов и начинающих…⁠",https://www.work.ua/jobs/4518679/,
Full stack Developer (Python),,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Необходимые навыкиKnowledge skills of Python3, Django, Django Rest FrameWork, Javascript, jQuery Будет…⁠",https://www.work.ua/jobs/4322756/,
Middle/Senior Python Developer,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            «Наши платежи драйвят бизнес» — это не просто лозунг, это действия которые мы воплощаем в жизнь!  4bill.io —…⁠",https://www.work.ua/jobs/3984817/,
Python Full Stack Developer (SOC team) to Dnipro,,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років.
                            We are looking for a Full Stack Developer to work with our Security Team to refine and develop Cyber…⁠",https://www.work.ua/jobs/4629107/,
"Викладач у ІТ-школу програмування (Python, Scratch)",,"Повна зайнятість, неповна зайнятість, готові взяти студента. Незакінчена вища освіта.
                            Контакти: Тел. +380937124239(Святослава) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання…⁠",https://www.work.ua/jobs/4682678/,
Full stack developer (python and JS),,"Повна зайнятість, дистанційна робота. Досвід роботи від 1 року.
                            Международная продуктовая IT-компания в поиске кандидата на позицию Full stack developer (python + JS)…⁠",https://www.work.ua/jobs/4498130/,
Аналітик дистанційних каналів продажу та CRM (моделювання Python),,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Forward Bank шукає ініціативного, з проактивною життєвою позицією Data science | Керівника проектів та програм…⁠",https://www.work.ua/jobs/4634360/,
Middle/Senior Automation QA Engineer (Python),,"Повна зайнятість. Досвід роботи від 2 років.
                            Приглашаем Middle/Senior Automation QA инженера в команду разработки инновационной Healthcare платформы…⁠",https://www.work.ua/jobs/4272146/,
Senior Python Engineer,,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років.
                            UKEESS Software House is looking for aSenior Python Engineer to join our ambitious team for the full-time…⁠",https://www.work.ua/jobs/4620844/,
"Викладач у ІТ-школу програмування (Python, Scratch)",,"Повна зайнятість, неповна зайнятість, готові взяти студента. Незакінчена вища освіта.
                            Контакти: Тел. +380937124239(Святослава) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання…⁠",https://www.work.ua/jobs/4682670/,
